ave, max, min
2.20,13.00,3.90,0.00,2.40
2.70,13.20,4.40,0.00,1.60
2.90,13.90,3.90,0.00,2.50
3.00,12.80,5.40,0.00,3.60
3.60,10.70,3.60,0.00,6.30
4.30,8.20,0.90,0.00,1.70
4.30,9.90,0.30,0.00,1.60
4.70,7.20,2.60,26.50,3.20
4.70,10.90,5.20,13.00,5.10
4.70,12.80,6.10,0.00,3.30
4.80,11.00,4.00,0.00,2.70
4.80,11.40,2.30,0.00,3.40
4.90,12.30,3.40,0.00,5.10
5.00,7.40,-0.50,0.00,2.80
5.10,5.30,-0.70,0.00,5.20
5.10,8.30,-0.60,0.00,4.20
5.20,10.60,2.30,0.00,3.30
5.20,11.00,1.90,0.00,2.50
5.20,11.20,3.30,0.00,2.40
5.20,3.90,0.80,2.50,3.00
5.40,11.30,2.30,0.50,4.60
5.50,13.00,2.10,0.00,3.20
6.00,8.30,1.90,0.00,5.60
6.10,7.60,0.30,0.00,5.40
6.10,9.90,1.10,0.00,4.30
6.20,10.70,0.00,0.00,2.20
6.20,15.60,5.30,0.00,8.00
6.20,13.40,4.40,0.00,2.40
6.20,13.80,4.70,0.00,1.70
6.30,18.30,8.00,0.50,4.40
6.30,10.80,3.80,0.00,5.20
6.40,10.50,3.50,0.00,2.90
6.40,9.90,2.10,0.00,6.10
6.50,13.00,2.50,0.00,5.70
6.50,13.20,3.90,0.00,3.00
6.50,9.20,4.50,0.00,2.00
6.50,15.00,6.00,0.50,5.30
6.50,10.00,3.80,0.00,8.10
6.60,10.80,3.50,0.00,4.50
6.60,5.90,1.40,7.50,3.00
6.60,10.20,2.20,0.00,4.30
6.60,9.30,1.10,0.00,3.20
6.60,10.90,2.90,0.00,6.40
6.70,11.90,1.70,0.00,3.10
6.80,11.20,2.30,0.00,2.60
6.80,11.70,2.30,0.00,2.70
6.90,12.10,3.40,0.00,2.60
6.90,18.20,7.90,0.00,8.30
6.90,11.60,6.30,0.00,3.10
6.90,10.60,2.00,0.00,4.00
6.90,16.70,3.30,18.00,7.10
7.00,9.50,3.60,0.00,8.70
7.00,11.10,1.30,0.00,3.70
7.20,18.30,10.50,1.00,7.00
7.20,11.20,4.60,0.00,5.30
7.20,11.40,3.20,0.00,2.40
7.30,12.30,4.20,0.00,2.60
7.30,7.90,3.90,0.00,4.10
7.30,8.90,1.80,0.00,3.20
7.30,11.80,1.60,5.00,2.00
7.40,8.60,6.10,10.50,2.40
7.40,15.60,5.30,0.00,3.50
7.40,14.10,4.60,0.00,2.70
7.50,15.40,4.90,0.00,2.60
7.50,12.70,8.10,9.50,1.90
7.50,10.30,2.60,2.00,2.80
7.70,11.00,1.50,0.00,2.10
7.70,11.60,2.20,0.00,2.30
7.90,14.10,4.80,0.00,2.80
7.90,12.00,4.60,0.00,2.90
8.00,12.20,3.10,0.00,3.00
8.00,12.70,6.30,0.00,2.80
8.10,11.50,6.50,2.50,3.50
8.10,6.50,3.30,7.50,3.70
8.10,13.20,3.60,0.00,3.20
8.10,14.40,4.20,0.00,3.00
8.20,14.70,5.30,0.00,2.90
8.20,18.20,7.60,0.00,3.60
8.20,16.80,8.90,0.00,4.10
8.20,13.10,7.90,11.00,4.90
8.20,15.00,6.60,0.00,5.50
8.30,14.10,6.50,0.00,2.30
8.30,13.80,5.60,0.00,4.00
8.40,12.30,3.70,0.00,3.20
8.40,9.60,5.90,7.00,3.00
8.40,7.10,2.30,30.00,4.90
8.40,13.70,3.80,1.00,3.40
8.50,14.10,5.00,0.00,2.70
8.50,16.00,6.40,0.00,2.60
8.50,13.10,5.80,5.00,3.00
8.70,8.30,4.90,7.00,3.70
8.70,13.30,4.70,0.00,3.00
8.90,15.40,6.30,1.50,3.20
8.90,16.60,5.40,0.00,3.20
9.00,17.70,10.90,0.00,5.10
9.00,20.60,13.60,0.00,7.20
9.10,19.40,16.70,1.50,8.70
9.10,19.00,13.40,17.00,5.20
9.10,17.70,10.80,11.50,4.20
9.10,15.00,7.50,0.00,3.80
9.10,13.60,8.20,40.50,4.00
9.30,21.90,9.70,0.00,3.80
9.30,17.10,7.60,0.00,3.50
9.40,20.90,8.60,0.00,4.50
9.40,21.50,16.50,0.00,8.60
9.40,23.40,14.10,0.00,3.70
9.40,25.10,15.60,14.50,4.70
9.50,25.90,15.90,20.50,8.10
9.70,23.80,13.70,0.00,6.50
9.90,19.70,11.80,0.00,4.10
9.90,17.70,13.80,0.00,2.30
10.00,18.70,11.30,2.50,2.90
10.00,19.30,10.40,0.00,3.20
10.30,17.50,11.00,0.00,3.20
10.30,20.40,11.40,0.00,4.80
10.50,19.70,14.20,0.00,6.50
10.50,17.60,11.60,6.50,4.50
10.50,20.10,12.70,0.00,2.70
10.50,21.90,11.80,0.00,3.50
10.50,23.20,12.10,0.00,3.70
10.60,23.50,14.20,3.00,3.00
10.60,22.30,12.50,0.00,3.20
10.80,20.30,12.90,0.00,4.40
10.80,21.80,15.20,0.00,4.80
10.90,23.10,15.30,0.00,2.90
10.90,25.80,15.70,0.00,5.90
11.20,23.90,15.20,0.00,4.40
11.30,26.40,14.70,0.00,3.30
11.70,21.90,16.50,0.00,3.50
11.90,17.20,15.80,4.50,2.00
11.90,25.80,16.80,0.00,2.80
12.00,27.80,16.80,0.00,4.10
12.20,19.90,16.80,34.50,4.10
12.20,19.30,15.20,0.00,3.50
12.30,20.90,14.90,0.00,2.20
12.40,23.10,16.50,0.00,3.60
12.40,19.70,15.20,0.00,2.90
12.40,24.00,15.60,16.50,2.40
12.60,24.40,13.90,0.00,2.80
12.90,26.60,17.60,0.00,3.30
13.00,28.00,19.40,0.00,3.20
13.10,26.40,20.30,0.00,5.30
13.30,27.20,19.70,0.00,6.40
13.50,25.30,19.70,0.00,5.20
13.50,24.90,18.50,0.00,2.50
13.50,21.60,17.20,16.00,3.40
13.60,26.80,17.20,0.00,4.40
13.60,27.30,17.00,0.00,3.10
13.60,26.00,18.40,0.00,3.90
13.60,26.30,19.60,0.00,4.50
13.90,27.10,21.90,0.00,5.70
13.90,27.00,21.00,0.00,3.10
14.10,27.20,18.30,0.00,4.90
14.10,25.30,17.00,0.00,2.90
14.10,26.30,17.20,0.00,4.40
14.50,24.60,17.30,0.00,3.90
14.70,25.00,16.90,0.00,3.70
14.70,23.30,17.90,0.00,4.70
14.70,24.00,19.20,0.50,5.30
14.80,27.50,20.40,0.00,3.60
14.90,29.10,19.50,0.00,4.80
15.00,24.60,18.80,0.00,3.90
15.00,26.40,17.50,0.00,3.60
15.00,20.20,16.60,1.50,3.50
15.10,24.50,15.20,7.50,3.20
15.30,25.50,16.70,0.00,3.40
15.30,27.40,18.80,0.00,3.60
15.40,27.60,18.20,0.00,3.70
15.40,21.90,18.00,17.00,3.90
15.40,30.30,17.50,0.50,4.30
15.40,27.90,16.70,0.00,3.00
15.50,25.50,21.30,16.00,8.30
15.60,28.80,22.20,0.00,3.70
15.60,30.40,20.50,0.00,3.10
15.60,29.30,21.60,0.00,3.50
15.70,24.10,22.70,5.50,2.60
15.80,26.10,21.60,0.00,3.10
16.00,25.50,21.40,1.00,2.80
16.00,26.00,21.00,1.50,1.90
16.20,28.40,21.00,0.00,2.80
16.30,26.20,23.70,0.00,5.20
16.30,26.00,23.60,0.50,3.90
16.30,30.80,23.30,0.00,2.90
16.30,33.00,25.30,0.00,3.60
16.60,31.40,24.50,21.00,3.40
16.60,32.30,23.30,3.50,3.40
16.60,30.40,23.20,0.00,3.80
16.90,30.10,23.90,0.00,2.90
16.90,33.40,23.90,0.00,2.60
17.00,31.00,24.60,0.00,4.10
17.00,31.50,25.20,0.00,5.20
17.00,31.60,25.20,0.00,5.60
17.10,32.80,26.00,0.00,6.20
17.10,32.90,26.80,0.00,7.20
17.30,31.60,25.70,0.00,5.80
17.40,31.30,24.80,0.00,4.20
17.50,31.90,26.00,0.50,3.30
17.60,33.30,26.60,0.00,3.60
17.60,32.00,24.50,0.00,2.70
17.90,32.40,23.10,0.00,3.30
17.90,32.20,24.70,0.00,4.20
18.00,32.40,26.50,0.00,4.60
18.00,33.60,26.30,0.00,5.40
18.10,29.20,26.00,0.00,6.30
18.20,32.60,27.40,0.00,7.60
18.30,32.00,27.30,0.00,6.40
18.30,28.20,22.80,7.50,3.80
18.30,24.30,21.90,0.00,2.90
18.30,33.20,21.80,0.00,2.70
18.30,32.00,24.20,0.00,2.90
18.60,31.10,23.80,0.00,3.60
18.70,32.80,23.70,0.00,2.90
18.70,31.60,23.00,7.00,3.60
18.90,25.30,21.30,0.00,4.10
19.00,27.90,20.60,0.00,3.30
19.00,29.40,22.70,2.00,2.70
19.20,33.20,24.60,0.00,2.10
19.30,33.40,25.70,0.00,2.90
19.60,33.90,26.40,18.50,5.20
19.70,32.90,27.30,0.00,5.60
19.70,36.00,25.00,0.50,3.20
19.90,28.00,23.60,0.00,3.50
20.10,24.70,22.40,0.50,3.40
20.10,27.90,21.70,3.00,2.70
20.30,31.60,23.30,0.00,2.80
20.40,27.00,23.90,7.50,2.60
20.40,27.00,22.90,6.00,3.60
20.40,24.10,22.20,3.50,3.80
20.40,28.80,21.80,1.00,3.00
20.50,30.90,24.40,0.00,2.30
20.60,30.50,23.20,4.50,2.60
20.70,29.70,22.80,0.00,2.80
20.80,31.20,24.20,0.00,2.70
20.80,31.30,25.60,0.00,3.80
20.80,34.70,26.20,0.00,2.50
20.80,35.10,28.00,0.00,2.60
20.90,36.30,27.70,0.00,2.70
20.90,33.40,27.10,0.00,3.50
20.90,30.40,23.40,0.00,3.70
21.00,31.20,22.70,0.00,3.10
21.10,32.60,26.40,0.00,6.20
21.10,32.30,24.00,0.00,4.60
21.10,24.20,19.80,9.50,5.00
21.10,23.70,19.00,0.00,5.20
21.20,24.30,18.30,0.00,4.20
21.20,26.50,18.00,0.00,3.00
21.20,23.80,20.20,5.00,2.50
21.30,28.00,20.40,0.50,2.50
21.30,23.90,20.90,11.00,2.30
21.40,25.50,21.00,2.50,2.20
21.40,27.80,21.50,1.00,2.60
21.60,29.40,20.70,0.00,2.60
21.60,30.00,21.50,0.00,3.20
21.70,31.10,23.10,2.00,4.90
21.80,27.80,23.40,6.00,6.70
21.80,30.30,24.10,0.00,3.80
21.90,31.00,23.00,0.00,2.90
22.10,28.40,21.60,0.00,2.90
22.20,23.00,19.30,5.00,3.70
22.20,24.60,18.50,38.50,3.90
22.30,30.70,21.20,9.50,7.40
22.40,28.10,22.50,0.00,2.40
22.50,26.50,21.70,0.00,4.00
22.70,29.40,21.50,0.00,3.70
22.70,27.50,20.80,7.50,4.40
22.70,23.00,17.90,16.00,3.70
22.80,26.50,19.10,0.00,2.10
22.80,28.70,20.10,0.00,2.60
22.80,27.20,20.50,0.00,2.90
22.90,26.80,22.30,0.50,5.10
22.90,23.90,16.50,98.00,3.00
22.90,24.90,17.00,0.00,2.50
22.90,23.90,18.00,0.00,2.30
23.00,25.70,16.60,0.00,3.40
23.00,26.00,20.20,0.50,4.10
23.10,25.50,19.20,1.50,2.60
23.20,20.70,16.60,0.00,3.80
23.20,20.10,15.10,0.00,3.10
23.20,19.10,14.70,27.00,3.00
23.20,23.50,15.70,35.00,3.50
23.20,25.90,18.10,0.00,2.40
23.30,25.70,17.10,0.00,2.10
23.30,27.50,20.80,0.00,2.20
23.30,24.00,20.10,0.00,2.50
23.40,28.00,20.20,0.00,2.80
23.50,20.40,15.10,12.00,3.90
23.60,15.70,13.90,14.50,2.70
23.70,16.50,14.60,13.00,2.50
23.70,14.60,12.80,23.00,3.40
23.90,16.30,12.50,6.50,2.10
23.90,19.60,12.20,0.00,3.80
23.90,13.30,10.30,42.50,3.70
24.10,17.70,11.90,2.50,4.20
24.20,18.60,15.50,11.00,2.80
24.20,19.50,17.40,116.50,5.00
24.30,25.40,15.30,16.50,9.50
24.30,17.80,13.40,0.00,3.10
24.40,14.30,12.40,12.00,3.30
24.50,20.20,11.90,0.00,2.40
24.50,21.30,10.70,0.00,2.20
24.60,17.00,14.20,4.00,3.10
24.70,17.30,14.10,116.00,3.60
24.70,19.60,11.50,0.00,7.50
24.80,16.60,10.60,0.00,2.50
24.80,21.10,10.50,0.00,1.80
24.90,22.10,11.10,0.00,2.60
25.00,21.90,12.60,6.50,2.90
25.10,21.40,11.50,2.00,2.40
25.10,17.30,10.00,0.00,2.20
25.30,20.90,9.20,0.00,2.70
25.40,22.30,11.30,0.00,2.90
25.50,20.50,14.30,0.50,5.40
25.50,19.60,12.20,0.00,4.40
25.60,19.80,10.30,0.00,2.90
26.30,21.80,12.30,4.00,6.20
26.30,16.20,9.10,0.00,3.20
26.40,18.70,7.60,6.50,2.40
26.40,15.70,11.30,11.50,2.30
26.40,16.90,11.20,0.00,2.30
26.40,16.80,8.10,0.00,3.40
26.40,14.30,7.10,0.00,2.50
26.40,15.30,9.00,1.50,3.60
26.50,12.50,6.30,0.00,4.00
26.50,10.50,5.00,0.00,2.20
26.50,11.80,5.50,0.00,3.70
26.60,12.90,2.90,0.50,1.80
26.60,13.70,7.40,35.50,2.40
26.70,14.70,7.60,0.00,2.30
26.80,14.50,6.10,0.00,1.80
27.00,18.20,5.40,0.00,6.30
27.10,15.00,9.60,0.00,3.50
27.10,14.60,9.30,0.00,2.50
27.20,17.50,9.40,0.00,1.80
27.30,14.90,8.40,0.00,3.00
27.30,10.60,7.40,0.00,2.70
27.50,12.20,4.90,0.00,2.90
27.50,12.40,5.30,0.00,2.00
27.60,13.60,5.10,0.00,2.30
27.60,14.70,7.30,0.00,4.50
27.80,11.70,4.40,0.00,2.60
27.80,12.70,3.50,0.00,2.20
27.90,8.40,2.80,4.50,2.20
28.00,11.00,2.60,0.00,2.60
28.10,14.00,2.70,0.00,4.20
28.10,16.90,9.40,0.00,9.30
28.10,10.10,5.70,0.00,5.40
28.20,11.30,3.40,0.00,3.00
28.30,10.70,3.40,0.00,5.10
28.70,10.20,2.90,0.00,1.80
28.70,14.40,4.00,0.00,4.00
28.80,11.40,4.00,0.00,5.40
28.80,10.10,1.30,0.00,1.40
28.90,12.90,1.60,0.00,2.50
29.00,10.80,3.40,0.00,1.80
29.00,10.70,2.50,0.00,2.80
29.00,11.40,2.50,0.00,2.20
29.10,14.30,2.40,0.00,2.00
29.10,13.30,4.50,2.00,1.90
29.20,15.90,6.90,12.00,5.20
29.30,12.20,5.30,0.00,4.20
29.40,9.40,2.40,0.00,3.80
29.50,9.90,1.70,0.00,3.90
30.20,10.40,3.70,0.00,4.70
30.70,11.10,3.30,0.00,4.50
30.90,5.70,3.30,0.00,2.30
